COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,OBSERVER ID,code,group,YEAR
Stilt Sandpiper,38.5930928,-121.6697216,1990-09-01,obsr293781,4.0,CHARADRIIFORMES,1990
Common Tern,38.5930928,-121.6697216,1990-09-01,obsr293781,4.0,CHARADRIIFORMES,1990
Solitary Sandpiper,38.5553476,-121.7825031,1990-09-12,obsr202543,4.0,CHARADRIIFORMES,1990
Snowy Plover,38.4312351,-121.6294594,1990-12-25,obsr218054,4.0,CHARADRIIFORMES,1990
American Golden-Plover,38.4312351,-121.6294594,1990-12-25,obsr218054,4.0,CHARADRIIFORMES,1990
Rough-legged Hawk,38.560776,-121.784316,1991-01-05,obsr107139,4.0,ACCIPITRIFORMES,1991
Lawrence's Goldfinch,38.5573715,-121.7061219,1991-01-15,obsr34154,4.0,PASSERIFORMES,1991
Horned Grebe,38.5930928,-121.6697216,1991-09-12,obsr293781,4.0,PODICIPEDIFORMES,1991
Pectoral Sandpiper,38.5930928,-121.6697216,1991-09-20,obsr293781,4.0,CHARADRIIFORMES,1991
Sabine's Gull,38.5930928,-121.6697216,1991-09-25,obsr293781,4.0,CHARADRIIFORMES,1991
Mountain Plover,38.5749441,-121.6764164,1991-12-15,obsr293781,4.0,CHARADRIIFORMES,1991
Rough-legged Hawk,38.6477462,-121.6889048,1992-01-14,obsr293781,4.0,ACCIPITRIFORMES,1992
Lawrence's Goldfinch,38.5606499,-121.7164564,1992-02-26,obsr678154,4.0,PASSERIFORMES,1992
Calliope Hummingbird,38.5573017,-121.7253955,1992-04-23,obsr34154,4.0,CAPRIMULGIFORMES,1992
Black-chinned Sparrow,38.875265,-122.3256612,1992-05-02,obsr163782,4.0,PASSERIFORMES,1992
Cassin's Finch,38.5606499,-121.7164564,1992-09-23,obsr678154,4.0,PASSERIFORMES,1992
Evening Grosbeak,38.5606499,-121.7164564,1992-10-24,obsr678154,4.0,PASSERIFORMES,1992
Rough-legged Hawk,38.6112691,-121.692545,1993-01-22,obsr293781,4.0,ACCIPITRIFORMES,1993
Eastern Phoebe,38.5553476,-121.7825031,1993-01-30,obsr300268,4.0,PASSERIFORMES,1993
Mountain Plover,38.7417663,-121.7295456,1993-03-04,obsr221425,4.0,CHARADRIIFORMES,1993
Gray Flycatcher,38.5606499,-121.7164564,1993-04-28,obsr678154,4.0,PASSERIFORMES,1993
Sanderling,38.703932,-121.7213917,1993-10-18,obsr269592,4.0,CHARADRIIFORMES,1993
Yellow-bellied Sapsucker,38.5606499,-121.7164564,1993-11-15,obsr678154,4.0,PICIFORMES,1993
Lawrence's Goldfinch,38.5348977,-121.5259552,1993-12-19,obsr269592,4.0,PASSERIFORMES,1993
Mountain Plover,38.5454498,-121.7446572,1994-01-23,obsr530203,4.0,CHARADRIIFORMES,1994
Eastern Phoebe,38.5553476,-121.7825031,1994-02-10,obsr269592,4.0,PASSERIFORMES,1994
Rough-legged Hawk,38.6123101,-121.7113495,1994-03-10,obsr293781,4.0,ACCIPITRIFORMES,1994
Yellow-bellied Sapsucker,38.5606499,-121.7164564,1994-03-23,obsr678154,4.0,PICIFORMES,1994
Solitary Sandpiper,38.5713205,-121.7486858,1994-04-14,obsr34355,4.0,CHARADRIIFORMES,1994
Gray Flycatcher,38.5606499,-121.7164564,1994-05-13,obsr678154,4.0,PASSERIFORMES,1994
Red Knot,38.6657506,-121.7174863,1994-05-17,obsr293781,4.0,CHARADRIIFORMES,1994
Summer Tanager,38.5606499,-121.7164564,1994-07-17,obsr678154,4.0,PASSERIFORMES,1994
Yellow-bellied Sapsucker,38.5449065,-121.7405167,1995-01-01,obsr106865,4.0,PICIFORMES,1995
Eastern Phoebe,38.5449065,-121.7405167,1995-01-01,obsr503056,4.0,PASSERIFORMES,1995
Mountain Plover,38.7482607,-121.730525,1995-01-01,obsr106865,4.0,CHARADRIIFORMES,1995
Grasshopper Sparrow,38.5363669,-121.7485464,1995-04-08,obsr162737,4.0,PASSERIFORMES,1995
Pacific Golden-Plover,38.5991973,-121.7263269,1995-04-23,obsr162737,4.0,CHARADRIIFORMES,1995
Curlew Sandpiper,38.678039,-121.6563749,1995-05-05,obsr293781,5.0,CHARADRIIFORMES,1995
Gray Flycatcher,38.5606499,-121.7164564,1995-05-10,obsr678154,4.0,PASSERIFORMES,1995
Lawrence's Goldfinch,38.912207,-122.2542286,1995-05-28,obsr162737,4.0,PASSERIFORMES,1995
Red-breasted Merganser,38.6886039,-121.8659091,1995-06-06,obsr131624,4.0,ANSERIFORMES,1995
Pectoral Sandpiper,38.7077074,-121.7322063,1995-08-20,obsr269592,4.0,CHARADRIIFORMES,1995
Stilt Sandpiper,38.703932,-121.7213917,1995-10-05,obsr269592,4.0,CHARADRIIFORMES,1995
Bobolink,38.536434,-121.7453706,1995-10-27,obsr182152,5.0,PASSERIFORMES,1995
Rough-legged Hawk,38.5749441,-121.6764164,1995-11-28,obsr293781,4.0,ACCIPITRIFORMES,1995
Mountain Plover,38.78939,-121.72764,1996-01-01,obsr162737,4.0,CHARADRIIFORMES,1996
Yellow-bellied Sapsucker,38.5606499,-121.7164564,1996-03-18,obsr678154,4.0,PICIFORMES,1996
Snowy Plover,38.6806857,-121.6590786,1996-04-20,obsr162737,4.0,CHARADRIIFORMES,1996
Solitary Sandpiper,38.703932,-121.7213917,1996-04-20,obsr293781,4.0,CHARADRIIFORMES,1996
Sage Thrasher,38.912207,-122.2542286,1996-04-27,obsr162737,4.0,PASSERIFORMES,1996
Lawrence's Goldfinch,38.7201061,-122.1425575,1996-04-27,obsr162737,4.0,PASSERIFORMES,1996
Gray Flycatcher,38.5606499,-121.7164564,1996-04-29,obsr678154,4.0,PASSERIFORMES,1996
Curlew Sandpiper,38.6806857,-121.6590786,1996-05-05,obsr269592,5.0,CHARADRIIFORMES,1996
Ruddy Turnstone,38.6806857,-121.6590786,1996-05-10,obsr162737,4.0,CHARADRIIFORMES,1996
Black-chinned Sparrow,38.8904984,-122.3169923,1996-05-12,obsr131624,4.0,PASSERIFORMES,1996
Evening Grosbeak,38.5606499,-121.7164564,1996-09-28,obsr678154,4.0,PASSERIFORMES,1996
Brewer's Sparrow,38.536434,-121.7453706,1996-10-07,obsr131624,4.0,PASSERIFORMES,1996
Surf Scoter,38.5930928,-121.6697216,1996-10-28,obsr131624,4.0,ANSERIFORMES,1996
Clark's Nutcracker,38.5523056,-121.7332888,1996-11-30,obsr131624,5.0,PASSERIFORMES,1996
Horned Grebe,38.5309118,-121.7603159,1996-12-01,obsr86452,4.0,PODICIPEDIFORMES,1996
Black-and-white Warbler,38.5837552,-121.5083599,1996-12-21,obsr401885,4.0,PASSERIFORMES,1996
Red-necked Grebe,38.4945782,-122.0090103,1997-01-05,obsr293781,4.0,PODICIPEDIFORMES,1997
Red-breasted Merganser,38.5141576,-122.1031666,1997-01-05,obsr293781,4.0,ANSERIFORMES,1997
Sage Thrasher,38.5591063,-121.7033672,1997-01-08,obsr293781,4.0,PASSERIFORMES,1997
Cassin's Finch,38.5522349,-121.7317772,1997-02-03,obsr300268,4.0,PASSERIFORMES,1997
Mountain Plover,38.7996,-121.71807,1997-02-14,obsr209998,4.0,CHARADRIIFORMES,1997
Lawrence's Goldfinch,38.6137332,-121.8493841,1997-04-19,obsr86452,4.0,PASSERIFORMES,1997
Calliope Hummingbird,38.5363669,-121.7485464,1997-04-20,obsr162737,4.0,CAPRIMULGIFORMES,1997
Gray Flycatcher,38.8718027,-122.3319248,1997-04-26,obsr162737,4.0,PASSERIFORMES,1997
Black-chinned Sparrow,38.9144032,-122.3157048,1997-05-10,obsr86452,4.0,PASSERIFORMES,1997
Evening Grosbeak,38.5606499,-121.7164564,1997-05-17,obsr678154,4.0,PASSERIFORMES,1997
Grasshopper Sparrow,38.635154,-122.012824,1997-05-19,obsr131624,4.0,PASSERIFORMES,1997
Indigo Bunting,38.5361226,-121.5233669,1997-07-29,obsr221161,4.0,PASSERIFORMES,1997
Summer Tanager,38.5361226,-121.5233669,1997-09-06,obsr293781,4.0,PASSERIFORMES,1997
Pectoral Sandpiper,38.5836668,-121.6371918,1997-09-06,obsr564229,4.0,CHARADRIIFORMES,1997
Brewer's Sparrow,38.6123101,-121.7113495,1997-10-31,obsr131624,4.0,PASSERIFORMES,1997
Black-throated Sparrow,38.682234,-121.643935,1997-11-09,obsr131624,5.0,PASSERIFORMES,1997
Rough-legged Hawk,38.4663584,-121.6485858,1997-11-28,obsr86424,4.0,ACCIPITRIFORMES,1997
Rough-legged Hawk,38.551789,-121.6208018,1998-01-06,obsr162737,4.0,ACCIPITRIFORMES,1998
Lapland Longspur,38.5089497,-121.6463412,1998-01-24,obsr131624,4.0,PASSERIFORMES,1998
Lawrence's Goldfinch,38.7201061,-122.1425575,1998-03-22,obsr162737,4.0,PASSERIFORMES,1998
Gray Flycatcher,38.5606499,-121.7164564,1998-04-28,obsr678154,4.0,PASSERIFORMES,1998
Snowy Plover,38.551789,-121.6208018,1998-05-09,obsr86424,4.0,CHARADRIIFORMES,1998
Pacific Golden-Plover,38.6657506,-121.7174863,1998-09-11,obsr86424,4.0,CHARADRIIFORMES,1998
Pectoral Sandpiper,38.5836668,-121.6371918,1998-09-11,obsr86424,4.0,CHARADRIIFORMES,1998
Sabine's Gull,38.6359808,-121.6171932,1998-09-13,obsr131624,4.0,CHARADRIIFORMES,1998
Evening Grosbeak,38.5606499,-121.7164564,1998-09-22,obsr678154,4.0,PASSERIFORMES,1998
Franklin's Gull,38.5930928,-121.6697216,1998-09-26,obsr86452,4.0,CHARADRIIFORMES,1998
Common Loon,38.4938102,-122.0065963,1998-11-30,obsr86452,4.0,GAVIIFORMES,1998
Ruff,38.663799,-121.6505814,1998-12-26,obsr269592,4.0,CHARADRIIFORMES,1998
Horned Grebe,38.5836668,-121.6371918,1999-01-01,obsr86424,4.0,PODICIPEDIFORMES,1999
Evening Grosbeak,38.5606499,-121.7164564,1999-01-21,obsr678154,4.0,PASSERIFORMES,1999
Townsend's Solitaire,38.601981,-121.5362173,1999-01-25,obsr34738,4.0,PASSERIFORMES,1999
Chestnut-backed Chickadee,38.5173654,-122.0562726,1999-02-28,obsr86452,4.0,PASSERIFORMES,1999
Little Gull,38.5836668,-121.6371918,1999-03-10,obsr131624,5.0,CHARADRIIFORMES,1999
Ruff,38.551789,-121.6208018,1999-03-15,obsr96124,4.0,CHARADRIIFORMES,1999
Lark Bunting,38.8089037,-121.946213,1999-04-11,obsr131624,4.0,PASSERIFORMES,1999
Grasshopper Sparrow,38.8021927,-121.9867587,1999-04-16,obsr86424,4.0,PASSERIFORMES,1999
Solitary Sandpiper,38.551789,-121.6208018,1999-04-24,obsr194146,4.0,CHARADRIIFORMES,1999
Steller's Jay,38.6942525,-122.0448446,1999-04-24,obsr51532,4.0,PASSERIFORMES,1999
Snowy Plover,38.551789,-121.6208018,1999-05-01,obsr86452,4.0,CHARADRIIFORMES,1999
Gray Flycatcher,38.5606499,-121.7164564,1999-05-16,obsr678154,4.0,PASSERIFORMES,1999
Franklin's Gull,38.5836668,-121.6371918,1999-08-07,obsr86452,4.0,CHARADRIIFORMES,1999
Common Tern,38.5836668,-121.6371918,1999-08-11,obsr86424,4.0,CHARADRIIFORMES,1999
Pectoral Sandpiper,38.551789,-121.6208018,1999-08-21,obsr162737,4.0,CHARADRIIFORMES,1999
Stilt Sandpiper,38.5836668,-121.6371918,1999-10-03,obsr86424,4.0,CHARADRIIFORMES,1999
American Golden-Plover,38.5836668,-121.6371918,1999-10-11,obsr86452,4.0,CHARADRIIFORMES,1999
Pacific Golden-Plover,38.5836668,-121.6371918,1999-10-12,obsr86452,4.0,CHARADRIIFORMES,1999
Chestnut-collared Longspur,38.7506026,-121.9424057,1999-11-22,obsr86452,4.0,PASSERIFORMES,1999
Rough-legged Hawk,38.7581661,-121.9422662,1999-11-26,obsr86424,4.0,ACCIPITRIFORMES,1999
Northern Shrike,38.5836668,-121.6371918,1999-12-05,obsr86424,4.0,PASSERIFORMES,1999
Mountain Plover,38.7349005,-121.7283062,1999-12-12,obsr20302,4.0,CHARADRIIFORMES,1999
Lapland Longspur,38.7506026,-121.9424057,1999-12-20,obsr109940,4.0,PASSERIFORMES,1999
Chestnut-collared Longspur,38.7506026,-121.9424057,2000-01-01,obsr162737,4.0,PASSERIFORMES,2000
Mountain Plover,38.7514789,-121.9840765,2000-01-01,obsr162737,4.0,CHARADRIIFORMES,2000
Rough-legged Hawk,38.7514789,-121.9840765,2000-01-01,obsr162737,4.0,ACCIPITRIFORMES,2000
Lapland Longspur,38.7514789,-121.9840765,2000-01-15,obsr1107319,4.0,PASSERIFORMES,2000
Tufted Duck,38.551789,-121.6208018,2000-02-04,obsr131624,5.0,ANSERIFORMES,2000
Northern Saw-whet Owl,38.571354,-121.7526126,2000-02-12,obsr86424,4.0,STRIGIFORMES,2000
Northern Shrike,38.5713205,-121.7486858,2000-02-20,obsr131624,4.0,PASSERIFORMES,2000
Lawrence's Goldfinch,38.5086168,-122.0168209,2000-02-24,obsr51532,4.0,PASSERIFORMES,2000
Grasshopper Sparrow,38.8756659,-122.02034,2000-04-21,obsr86452,4.0,PASSERIFORMES,2000
Calliope Hummingbird,38.8904984,-122.3169923,2000-04-24,obsr51532,4.0,CAPRIMULGIFORMES,2000
Solitary Sandpiper,38.5836668,-121.6371918,2000-04-24,obsr51532,4.0,CHARADRIIFORMES,2000
Long-tailed Jaeger,38.5836668,-121.6371918,2000-06-09,obsr14968,5.0,CHARADRIIFORMES,2000
Ruddy Turnstone,38.5930928,-121.6697216,2000-08-07,obsr56280,4.0,CHARADRIIFORMES,2000
Sanderling,38.5836668,-121.6371918,2000-08-25,obsr293781,4.0,CHARADRIIFORMES,2000
Common Tern,38.5836668,-121.6371918,2000-08-25,obsr293781,4.0,CHARADRIIFORMES,2000
Pectoral Sandpiper,38.551789,-121.6208018,2000-08-30,obsr50093,4.0,CHARADRIIFORMES,2000
Green-tailed Towhee,38.9144032,-122.3157048,2000-09-04,obsr86452,4.0,PASSERIFORMES,2000
Snowy Plover,38.5836668,-121.6371918,2000-09-16,obsr51532,4.0,CHARADRIIFORMES,2000
Palm Warbler,38.536434,-121.7453706,2000-10-09,obsr131624,5.0,PASSERIFORMES,2000
Clark's Nutcracker,38.5606499,-121.7164564,2000-10-14,obsr678154,5.0,PASSERIFORMES,2000
Clay-colored Sparrow,38.536434,-121.7453706,2000-10-25,obsr131624,4.0,PASSERIFORMES,2000
Evening Grosbeak,38.5606499,-121.7164564,2000-10-29,obsr678154,4.0,PASSERIFORMES,2000
Townsend's Solitaire,38.5606499,-121.7164564,2000-11-01,obsr678154,4.0,PASSERIFORMES,2000
Mountain Plover,38.7506026,-121.9424057,2001-01-28,obsr34738,4.0,CHARADRIIFORMES,2001
Rough-legged Hawk,38.7506026,-121.9424057,2001-01-28,obsr34738,4.0,ACCIPITRIFORMES,2001
